city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
4705086,Lamar,US,33.67,-95.58,01/24/20,            53.67,53,1,11.41
1850108,Tomigusuku,JP,26.18,127.67,01/24/20,            70.52,88,75,11.41
1263942,Manavalakurichi,IN,8.13,77.3,01/24/20,            80.6,88,20,3.36
5003136,Muskegon,US,43.3,-86.13,01/24/20,            34.83,99,90,6.93
1244926,Hambantota,LK,6.12,81.12,01/24/20,            79.9,76,0,23.42
5964401,Grand Forks,CA,49.03,-118.44,01/24/20,            40.28,99,100,3
1831125,Kampong Thom,KH,12.71,104.89,01/24/20,            69.91,84,100,8.88
6690297,Saint-Leu,RE,-21.15,55.28,01/24/20,            76.73,100,100,24.16
3860443,Comodoro Rivadavia,AR,-45.87,-67.5,01/24/20,            82.4,24,67,31.09
1168197,Peshawar,PK,34.01,71.58,01/24/20,            46.4,65,40,4.7
5989403,Kapuskasing,CA,49.42,-82.43,01/24/20,            26.6,79,75,9.17
4031742,Egvekinot,RU,66.32,-179.17,01/24/20,            -10.34,92,43,3.94
3893629,Coquimbo,CL,-29.95,-71.34,01/24/20,            75.2,57,1,13.87
88533,Awjilah,LY,29.11,21.29,01/24/20,            54.46,63,0,5.35
4266307,Vincennes,US,38.68,-87.53,01/24/20,            39.29,93,90,9.17
1623424,Tondano,ID,1.3,124.91,01/24/20,            73.4,100,20,2.24
1794903,Shiyan,CN,32.65,110.78,01/24/20,            34.43,96,100,0.76
2122605,Okhotsk,RU,59.38,143.3,01/24/20,            -25.69,72,0,9.91
1299237,Pyapon,MM,16.28,95.68,01/24/20,            66.11,61,65,9.73
2441447,Maine Soroa,NE,13.21,12.02,01/24/20,            63.86,15,0,10.27
2643490,Lowestoft,GB,52.48,1.75,01/24/20,            42.57,87,75,4.7
1266928,Khargone,IN,21.82,75.6,01/24/20,            63.97,50,31,3.11
3466174,Cianorte,BR,-23.66,-52.6,01/24/20,            84.2,54,20,8.05
2134814,Sola,VU,-13.88,167.55,01/24/20,            82.4,94,19,3.36
341742,Bonga,ET,7.28,36.23,01/24/20,            57.83,68,100,1.92
5248511,Chippewa Falls,US,44.94,-91.39,01/24/20,            34,80,90,5.82
1788852,Xining,CN,36.62,101.77,01/24/20,            12.31,82,35,4.45
